Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
07/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,VA,24112,Older American,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469525
07/29/2013,Bank account or service,Other bank product/service,Problems caused by my funds being low,,,,Bank of America,NY,11716,"Older American, Servicemember",N/A,Phone,08/01/2013,Closed with explanation,Yes,No,469537
07/29/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"Fidelity National Information Services, Inc. (FNIS)",CT,06514,,N/A,Referral,08/21/2013,Closed with explanation,Yes,No,469507
07/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,People's United Bank,CT,06514,,N/A,Referral,07/31/2013,Closed with explanation,Yes,No,469508
07/29/2013,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,"Citizens Financial Group, Inc.",VT,05770,Servicemember,N/A,Web,08/01/2013,Closed with non-monetary relief,Yes,No,469589
07/30/2013,Consumer Loan,Vehicle lease,Managing the loan or lease,,,,Ally Financial Inc.,MI,48238,,N/A,Fax,08/01/2013,Closed with explanation,Yes,No,469241
07/29/2013,Consumer Loan,Vehicle lease,Managing the loan or lease,,,,"Asset Management Outsourcing, Inc.",NY,11030,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,469606
07/30/2013,Credit card,,Payoff process,,,,Wells Fargo & Company,NV,89108,Servicemember,N/A,Phone,08/02/2013,Closed with explanation,Yes,No,470828
07/30/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,CA,95219,,N/A,Web,07/31/2013,Closed with non-monetary relief,Yes,No,470831
07/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,TD Bank US Holding Company,NJ,07656,,N/A,Postal mail,07/31/2013,Closed with monetary relief,Yes,No,480463
07/29/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,"TransUnion Intermediate Holdings, Inc.",CO,80247,,N/A,Web,07/29/2013,Closed with non-monetary relief,Yes,No,479873
07/30/2013,Bank account or service,Checking account,Using a debit or ATM card,,,,JPMorgan Chase & Co.,NY,11772,,N/A,Web,08/01/2013,Closed with explanation,Yes,No,472678
07/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,FL,33326,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,469641
07/30/2013,Bank account or service,Savings account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,NY,10469,,N/A,Web,08/01/2013,Closed with explanation,Yes,No,470665
07/30/2013,Credit card,,Closing/Cancelling account,,,,Citibank,TX,78249,,N/A,Web,07/30/2013,Closed with explanation,Yes,Yes,470852
07/31/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,GA,30680,,N/A,Web,08/01/2013,Closed with non-monetary relief,Yes,Yes,470863
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,MI,49042,,N/A,Referral,08/02/2013,Closed with explanation,Yes,No,469653
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,NY,11230,,N/A,Referral,07/30/2013,Closed with explanation,Yes,No,455630
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,95020,,N/A,Referral,07/31/2013,Closed with explanation,Yes,No,469660
07/29/2013,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,AZ,85138,,N/A,Referral,07/30/2013,Closed with explanation,Yes,Yes,467092
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,NY,10803,,N/A,Referral,07/30/2013,Closed with explanation,Yes,Yes,469664
07/29/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Ocwen,MA,02126,,N/A,Referral,08/01/2013,Closed,Yes,No,469666
07/31/2013,Credit card,,Billing statement,,,,JPMorgan Chase & Co.,DE,19809,,N/A,Web,07/30/2013,Closed with monetary relief,Yes,No,479338
